bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3e84a8c0:	time lag;	0.24890	0.25421
3e800758:	dummy;	0.255172	4	-8	88
3e84afd8:	time lag;	0.25006	0.25517
3e8008c8:	dummy;	0.256129	4	-8	88
3e84b558:	time lag;	0.25007	0.25613
3e80a118:	dummy;	0.257081	4	-8	88
3e84bbc0:	time lag;	0.25123	0.25708
3e813708:	dummy;	0.258019	4	-8	88
3e84c140:	time lag;	0.25237	0.25802
3e81cc50:	dummy;	0.258964	4	-8	88
3e84c680:	time lag;	0.25351	0.25896
3e81ce08:	dummy;	0.25992	4	-8	88
3e84cbc0:	time lag;	0.25353	0.25992
3e825d70:	dummy;	0.260874	4	-8	88
3e84d100:	time lag;	0.25462	0.26087
3e8338b8:	dummy;	0.261829	4	-8	88
3e88f278:	time lag;	0.25629	0.26183
3e8381d8:	dummy;	0.262785	4	-8	88
3e88fa18:	time lag;	0.25685	0.26278
3e8419c0:	dummy;	0.263738	4	-8	88
3e890190:	time lag;	0.25801	0.26374
3e84a018:	dummy;	0.264681	5	-7	87
3e890750:	time lag;	0.25903	0.26468
3e8537e0:	dummy;	0.265636	6	-6	86
3e890cd8:	time lag;	0.26019	0.26564
3e85ca90:	dummy;	0.266592	7	-5	85
3e891210:	time lag;	0.26131	0.26659
3e866340:	dummy;	0.267547	8	-4	84
3e891730:	time lag;	0.26248	0.26755
3e866518:	dummy;	0.268503	8	-4	84
3e891e88:	time lag;	0.26249	0.26850
3e86ee78:	dummy;	0.269459	8	-4	84
3e892408:	time lag;	0.26354	0.26946
3e878af8:	dummy;	0.270415	8	-4	84
3e8d3c98:	time lag;	0.26473	0.27042
3e8821b0:	dummy;	0.27137	8	-4	84
3e8d4368:	time lag;	0.26588	0.27137
3e88bfc0:	dummy;	0.272326	8	-4	84
3e8d4970:	time lag;	0.26709	0.27233
3e8953e0:	dummy;	0.273283	8	-4	84
3e8d4f18:	time lag;	0.26822	0.27328
3e89eb40:	dummy;	0.274239	8	-4	84
3e8d5498:	time lag;	0.26937	0.27424
3e8a7e98:	dummy;	0.275195	8	-4	84
3e8d59f8:	time lag;	0.27050	0.27520
3e8a8028:	dummy;	0.276152	8	-4	84
3e8d5f38:	time lag;	0.27051	0.27615
3e8a8158:	dummy;	0.277105	8	-4	84
3e8d6470:	time lag;	0.27052	0.27710
3e8bcbc8:	dummy;	0.278044	8	-4	84
